card_id,collector_number,card_name,finish,pokemon_tcg_api_card_id,pokemon_tcg_api_variant,api_low,api_market,api_mid,api_high,api_updated_at,tcgdex_card_id,tcgdex_variant,tcgdex_low,tcgdex_market,tcgdex_updated_at,comparison_status,difference_low,difference_market,identity_status,finish_status,eligible,reason
25247,044,Gloom,normal,sv3pt5-44,normal,0.01,0.2,0.2,19.98,2026/09/01,sv03.5-044,normal,0.01,0.2,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25248,044,Gloom,reverse_holo,sv3pt5-44,reverseHolofoil,0.07,0.27,0.29,40.0,2026/09/01,sv03.5-044,reverse-holofoil,0.07,0.27,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25249,045,Vileplume,holo,sv3pt5-45,holofoil,0.03,0.26,0.28,18.18,2026/09/01,sv03.5-045,holofoil,0.03,0.26,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25250,045,Vileplume,reverse_holo,sv3pt5-45,reverseHolofoil,0.48,0.83,0.96,50.0,2026/09/01,sv03.5-045,reverse-holofoil,0.48,0.83,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25251,046,Paras,normal,sv3pt5-46,normal,0.01,0.15,0.16,25.0,2026/09/01,sv03.5-046,normal,0.01,0.15,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25252,046,Paras,reverse_holo,sv3pt5-46,reverseHolofoil,0.05,0.25,0.25,3.69,2026/09/01,sv03.5-046,reverse-holofoil,0.05,0.25,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25253,047,Parasect,normal,sv3pt5-47,normal,0.01,0.2,0.19,5.0,2026/09/01,sv03.5-047,normal,0.01,0.2,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25254,047,Parasect,reverse_holo,sv3pt5-47,reverseHolofoil,0.07,0.29,0.27,5.0,2026/09/01,sv03.5-047,reverse-holofoil,0.07,0.29,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25255,048,Venonat,normal,sv3pt5-48,normal,0.01,0.18,0.2,19.98,2026/09/01,sv03.5-048,normal,0.01,0.18,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25256,048,Venonat,reverse_holo,sv3pt5-48,reverseHolofoil,0.07,0.22,0.25,19.98,2026/09/01,sv03.5-048,reverse-holofoil,0.07,0.22,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25257,049,Venomoth,normal,sv3pt5-49,normal,0.04,0.17,0.2,2.08,2026/09/01,sv03.5-049,normal,0.04,0.17,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25258,049,Venomoth,reverse_holo,sv3pt5-49,reverseHolofoil,0.1,0.32,0.31,25.0,2026/09/01,sv03.5-049,reverse-holofoil,0.1,0.32,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25259,050,Diglett,normal,sv3pt5-50,normal,0.01,0.14,0.16,19.54,2026/09/01,sv03.5-050,normal,0.01,0.14,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25260,050,Diglett,reverse_holo,sv3pt5-50,reverseHolofoil,0.01,0.26,0.27,15.23,2026/09/01,sv03.5-050,reverse-holofoil,0.08,0.26,2026-09-01T12:00:20.170Z,MATERIAL_DIFFERENCE,0.8750000000000001,0.0,EXACT,EXACT,True,price discrepancy is diagnostic only; API remains authority
25261,051,Dugtrio,normal,sv3pt5-51,normal,0.01,0.12,0.17,19.54,2026/09/01,sv03.5-051,normal,0.01,0.12,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
