card_id,collector_number,card_name,finish,source_provider,market,source_variant,low,mid,high,market_price,direct_low,currency,source_updated_at,observed_at,snapshot_key,pricing_status,pricing_eligible,would_insert,would_update,reason
25215,027,Sandshrew,normal,pokemon_tcg_api,0.15,normal,0.01,0.19,20.0,0.15,0.07,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
25216,027,Sandshrew,reverse_holo,pokemon_tcg_api,0.27,reverseHolofoil,0.1,0.27,19.06,0.27,0.25,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
25217,028,Sandslash,normal,pokemon_tcg_api,0.2,normal,0.01,0.2,19.96,0.2,0.07,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
25218,028,Sandslash,reverse_holo,pokemon_tcg_api,0.28,reverseHolofoil,0.05,0.29,990.0,0.28,0.25,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
25219,029,Nidoran♀,normal,,0.29,,0.05,0.26,19.98,0.29,0.2,,,,,IDENTITY_CONFLICT,False,False,False,Pokémon TCG API identity: name 'Nidoran ♀' != 'Nidoran♀'
25220,029,Nidoran♀,reverse_holo,,1.67,,1.0,1.91,40.0,1.67,1.74,,,,,IDENTITY_CONFLICT,False,False,False,Pokémon TCG API identity: name 'Nidoran ♀' != 'Nidoran♀'
25221,030,Nidorina,normal,pokemon_tcg_api,0.2,normal,0.01,0.2,19.06,0.2,0.01,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
25222,030,Nidorina,reverse_holo,pokemon_tcg_api,0.31,reverseHolofoil,0.1,0.3,990.0,0.31,,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
25223,031,Nidoqueen,normal,pokemon_tcg_api,0.17,normal,0.01,0.2,19.98,0.17,0.01,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
25224,031,Nidoqueen,reverse_holo,pokemon_tcg_api,0.31,reverseHolofoil,0.05,0.31,19.64,0.31,0.3,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
25225,032,Nidoran♂,normal,,0.23,,0.06,0.25,20.0,0.23,0.18,,,,,IDENTITY_CONFLICT,False,False,False,Pokémon TCG API identity: name 'Nidoran ♂' != 'Nidoran♂'
25226,032,Nidoran♂,reverse_holo,,3.0,,1.25,3.04,7.24,3.0,3.72,,,,,IDENTITY_CONFLICT,False,False,False,Pokémon TCG API identity: name 'Nidoran ♂' != 'Nidoran♂'
25227,033,Nidorino,normal,pokemon_tcg_api,0.21,normal,0.01,0.21,2.17,0.21,0.08,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
25228,033,Nidorino,reverse_holo,pokemon_tcg_api,0.27,reverseHolofoil,0.1,0.28,15.23,0.27,0.2,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
25229,034,Nidoking,holo,pokemon_tcg_api,0.3,holofoil,0.09,0.32,25.0,0.3,0.28,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
25230,034,Nidoking,reverse_holo,pokemon_tcg_api,1.71,reverseHolofoil,0.61,1.75,17.19,1.71,2.55,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
25231,035,Clefairy,normal,pokemon_tcg_api,0.22,normal,0.01,0.23,19.54,0.22,0.08,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
25232,035,Clefairy,reverse_holo,pokemon_tcg_api,0.32,reverseHolofoil,0.09,0.32,36.0,0.32,0.3,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
25233,036,Clefable,normal,pokemon_tcg_api,0.14,normal,0.02,0.2,19.98,0.14,0.08,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
25234,036,Clefable,reverse_holo,pokemon_tcg_api,0.32,reverseHolofoil,0.05,0.31,15.29,0.32,0.3,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
25235,037,Vulpix,normal,pokemon_tcg_api,0.16,normal,0.01,0.19,19.6,0.16,0.07,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
25236,037,Vulpix,reverse_holo,pokemon_tcg_api,0.34,reverseHolofoil,0.01,0.34,18.94,0.34,0.27,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
25237,038,Ninetales ex,holo,pokemon_tcg_api,2.23,holofoil,1.0,2.37,64.0,2.23,3.35,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MINOR_DIFFERENCE,True,False,False,price discrepancy is diagnostic only; API remains authority
25238,039,Jigglypuff,normal,pokemon_tcg_api,0.17,normal,0.01,0.2,19.74,0.17,0.01,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
25239,039,Jigglypuff,reverse_holo,pokemon_tcg_api,0.32,reverseHolofoil,0.1,0.34,19.48,0.32,0.34,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MINOR_DIFFERENCE,True,False,False,price discrepancy is diagnostic only; API remains authority
25240,040,Wigglytuff ex,holo,pokemon_tcg_api,1.43,holofoil,0.3,1.47,25.0,1.43,2.07,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MINOR_DIFFERENCE,True,False,False,price discrepancy is diagnostic only; API remains authority
25241,041,Zubat,normal,pokemon_tcg_api,0.11,normal,0.01,0.15,990.0,0.11,0.04,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
25242,041,Zubat,reverse_holo,pokemon_tcg_api,0.26,reverseHolofoil,0.1,0.28,15.23,0.26,0.18,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
25243,042,Golbat,normal,pokemon_tcg_api,0.09,normal,0.01,0.17,20.0,0.09,0.01,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
25244,042,Golbat,reverse_holo,pokemon_tcg_api,0.31,reverseHolofoil,0.09,0.3,19.04,0.31,0.25,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
