set,collector_number,language,treatment,object_type,name,scryfall_id,layout,type_line,frame_effects,promo_types,source_finish_options,finish,physical_pairing,finish_detail
HOB,34,English,Default,card,"Bilbo Baggins, Burglar // Take a Glance",6a109b3e-9f5b-4625-abb7-6b992c10530b,adventure,Legendary Creature — Halfling Rogue // Sorcery — Adventure,legendary,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,34,English,Default,card,"Bilbo Baggins, Burglar // Take a Glance",6a109b3e-9f5b-4625-abb7-6b992c10530b,adventure,Legendary Creature — Halfling Rogue // Sorcery — Adventure,legendary,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,35,English,Default,card,Confusticate and Bebother,9de48690-e5ae-495a-addf-305f1db7ec21,normal,Instant,,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,35,English,Default,card,Confusticate and Bebother,9de48690-e5ae-495a-addf-305f1db7ec21,normal,Instant,,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,36,English,Default,card,"Elrond, Moon-Reader",fbcb310c-be73-46f8-8e65-8632454ccc6e,normal,Legendary Creature — Elf Noble,legendary,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,36,English,Default,card,"Elrond, Moon-Reader",fbcb310c-be73-46f8-8e65-8632454ccc6e,normal,Legendary Creature — Elf Noble,legendary,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,37,English,Default,card,Elven Raft-Steerer,c141695c-c108-41d5-85cb-1f7485d9d533,normal,Creature — Elf Pilot,,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,37,English,Default,card,Elven Raft-Steerer,c141695c-c108-41d5-85cb-1f7485d9d533,normal,Creature — Elf Pilot,,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,38,English,Default,card,Elvenking's Harper,9c50656d-c74a-4e90-9ef7-afa237682516,normal,Creature — Elf Bard,,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,38,English,Default,card,Elvenking's Harper,9c50656d-c74a-4e90-9ef7-afa237682516,normal,Creature — Elf Bard,,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,39,English,Default,card,Enchanted River's Grasp,ad40a4b9-9fab-49c1-8e9f-6e0776966833,normal,Enchantment — Aura,enchantment,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,39,English,Default,card,Enchanted River's Grasp,ad40a4b9-9fab-49c1-8e9f-6e0776966833,normal,Enchantment — Aura,enchantment,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,40,English,Default,card,Fateful Discovery,a1142fa1-b861-4876-aa48-402af35aaa63,normal,Enchantment,enchantment,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,40,English,Default,card,Fateful Discovery,a1142fa1-b861-4876-aa48-402af35aaa63,normal,Enchantment,enchantment,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,41,English,Default,card,"Gandalf, Wandering Wizard",1f8403a2-849c-4a59-b0ed-c8803995028d,normal,Legendary Creature — Avatar Wizard,legendary,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,41,English,Default,card,"Gandalf, Wandering Wizard",1f8403a2-849c-4a59-b0ed-c8803995028d,normal,Legendary Creature — Avatar Wizard,legendary,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,42,English,Default,card,Great Gilded Boat,b2fb3995-5b43-4776-88b2-346d353edee0,normal,Artifact — Vehicle,,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,42,English,Default,card,Great Gilded Boat,b2fb3995-5b43-4776-88b2-346d353edee0,normal,Artifact — Vehicle,,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,43,English,Default,card,Lakeshore Apothecary,abfbb255-a39b-4df5-bfb6-5298584e89f0,normal,Creature — Human Cleric,,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
