idProduct,idMetacard,product_name,candidate_collector_number_1,candidate_card_1,candidate_finish_scope_1,candidate_collector_number_2,candidate_card_2,candidate_finish_scope_2,candidate_collector_number_3,candidate_card_3,candidate_finish_scope_3,reason,missing_evidence,recommended_review,approved
719643,421144,Alakazam ex [Mind Jack | Dimensional Hand],065,Alakazam ex,holo,188,Alakazam ex,holo,201,Alakazam ex,holo,name_signature=alakazam ex; attack_signature=mind jack | dimensional hand; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719644,421155,Golem ex [Dynamic Roll | Rock Blaster],076,Golem ex,holo,189,Golem ex,holo,,,,name_signature=golem ex; attack_signature=dynamic roll | rock blaster; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719645,421194,Kangaskhan ex [Triple Draw | Incessant Punching],115,Kangaskhan ex,holo,190,Kangaskhan ex,holo,,,,name_signature=kangaskhan ex; attack_signature=triple draw | incessant punching; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719646,421203,Jynx ex [Heart-Stopping Kiss | Icy Wind],124,Jynx ex,holo,191,Jynx ex,holo,,,,name_signature=jynx ex; attack_signature=heart stopping kiss | icy wind; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719647,421224,Zapdos ex [Voltaic Float | Multishot Lightning],145,Zapdos ex,holo,192,Zapdos ex,holo,202,Zapdos ex,holo,name_signature=zapdos ex; attack_signature=voltaic float | multishot lightning; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719648,421230,Mew ex [Restart | Genome Hacking],151,Mew ex,holo,193,Mew ex,holo,205,Mew ex,holo,name_signature=mew ex; attack_signature=restart | genome hacking; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719649,421239,Erika's Invitation,160,Erika’s Invitation,"normal,reverse_holo",196,Erika’s Invitation,holo,203,Erika’s Invitation,holo,name_signature=erika s invitation; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719650,421240,Giovanni's Charisma,161,Giovanni’s Charisma,"normal,reverse_holo",197,Giovanni’s Charisma,holo,204,Giovanni’s Charisma,holo,name_signature=giovanni s charisma; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719651,421241,Daisy's Help,158,Daisy’s Help,"normal,reverse_holo",195,Daisy’s Help,holo,,,,name_signature=daisy s help; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719652,421242,Bill's Transfer,156,Bill’s Transfer,"normal,reverse_holo",194,Bill’s Transfer,holo,,,,name_signature=bill s transfer; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719653,421082,Venusaur ex [Tranquil Flower | Dangerous Toxwhip],003,Venusaur ex,holo,182,Venusaur ex,holo,198,Venusaur ex,holo,name_signature=venusaur ex; attack_signature=tranquil flower | dangerous toxwhip; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719654,421085,Charizard ex [Brave Wing | Explosive Vortex],006,Charizard ex,holo,183,Charizard ex,holo,199,Charizard ex,holo,name_signature=charizard ex; attack_signature=brave wing | explosive vortex; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719655,421088,Blastoise ex [Solid Shell | Twin Cannons],009,Blastoise ex,holo,184,Blastoise ex,holo,200,Blastoise ex,holo,name_signature=blastoise ex; attack_signature=solid shell | twin cannons; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719656,421144,Alakazam ex [Mind Jack | Dimensional Hand],065,Alakazam ex,holo,188,Alakazam ex,holo,201,Alakazam ex,holo,name_signature=alakazam ex; attack_signature=mind jack | dimensional hand; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719657,421224,Zapdos ex [Voltaic Float | Multishot Lightning],145,Zapdos ex,holo,192,Zapdos ex,holo,202,Zapdos ex,holo,name_signature=zapdos ex; attack_signature=voltaic float | multishot lightning; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719658,421230,Mew ex [Restart | Genome Hacking],151,Mew ex,holo,193,Mew ex,holo,205,Mew ex,holo,name_signature=mew ex; attack_signature=restart | genome hacking; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719659,421239,Erika's Invitation,160,Erika’s Invitation,"normal,reverse_holo",196,Erika’s Invitation,holo,203,Erika’s Invitation,holo,name_signature=erika s invitation; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719660,421240,Giovanni's Charisma,161,Giovanni’s Charisma,"normal,reverse_holo",197,Giovanni’s Charisma,holo,204,Giovanni’s Charisma,holo,name_signature=giovanni s charisma; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719661,421230,Mew ex [Restart | Genome Hacking],151,Mew ex,holo,193,Mew ex,holo,205,Mew ex,holo,name_signature=mew ex; attack_signature=restart | genome hacking; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
