canonical_id,game,set,collector_number,card_name,rarity,category,artist,image_status,metadata_status,physical_printing_count
23395,pokemon,mew,040,Wigglytuff ex,Double rare,Pokemon,Saki Hayashiro,resolved,complete,1
23396,pokemon,mew,041,Zubat,Common,Pokemon,Scav,resolved,complete,2
23397,pokemon,mew,042,Golbat,Uncommon,Pokemon,Scav,resolved,complete,2
23398,pokemon,mew,043,Oddish,Common,Pokemon,Sekio,resolved,complete,2
23399,pokemon,mew,044,Gloom,Uncommon,Pokemon,Sekio,resolved,complete,2
23400,pokemon,mew,045,Vileplume,Rare,Pokemon,Sekio,resolved,complete,2
23401,pokemon,mew,046,Paras,Common,Pokemon,Yoriyuki Ikegami,resolved,complete,2
23402,pokemon,mew,047,Parasect,Uncommon,Pokemon,Yoriyuki Ikegami,resolved,complete,2
23403,pokemon,mew,048,Venonat,Common,Pokemon,Kagemaru Himeno,resolved,complete,2
23404,pokemon,mew,049,Venomoth,Uncommon,Pokemon,Kagemaru Himeno,resolved,complete,2
23405,pokemon,mew,050,Diglett,Common,Pokemon,Miki Tanaka,resolved,complete,2
23406,pokemon,mew,051,Dugtrio,Uncommon,Pokemon,Miki Tanaka,resolved,complete,2
23407,pokemon,mew,052,Meowth,Common,Pokemon,Naoki Saito,resolved,complete,2
23408,pokemon,mew,053,Persian,Uncommon,Pokemon,Naoki Saito,resolved,complete,2
23409,pokemon,mew,054,Psyduck,Common,Pokemon,Taira Akitsu,resolved,complete,2
23410,pokemon,mew,055,Golduck,Uncommon,Pokemon,Taira Akitsu,resolved,complete,2
23411,pokemon,mew,056,Mankey,Common,Pokemon,Mina Nakai,resolved,complete,2
23412,pokemon,mew,057,Primeape,Uncommon,Pokemon,Mina Nakai,resolved,complete,2
23413,pokemon,mew,058,Growlithe,Common,Pokemon,Atsushi Furusawa,resolved,complete,2
23414,pokemon,mew,059,Arcanine,Uncommon,Pokemon,Atsushi Furusawa,resolved,complete,2
23415,pokemon,mew,060,Poliwag,Common,Pokemon,Kurata So,resolved,complete,2
23416,pokemon,mew,061,Poliwhirl,Common,Pokemon,Kurata So,resolved,complete,2
23417,pokemon,mew,062,Poliwrath,Uncommon,Pokemon,Kurata So,resolved,complete,2
23418,pokemon,mew,063,Abra,Common,Pokemon,Mitsuhiro Arita,resolved,complete,2
23419,pokemon,mew,064,Kadabra,Uncommon,Pokemon,Mitsuhiro Arita,resolved,complete,2
23420,pokemon,mew,065,Alakazam ex,Double rare,Pokemon,Mitsuhiro Arita,resolved,complete,1
23421,pokemon,mew,066,Machop,Common,Pokemon,Ryuta Fuse,resolved,complete,2
23422,pokemon,mew,067,Machoke,Uncommon,Pokemon,Ryuta Fuse,resolved,complete,2
23423,pokemon,mew,068,Machamp,Rare,Pokemon,Ryuta Fuse,resolved,complete,2
