canonical_id,physical_card_id,collector_number,card_name,finish,treatment,variant_status,evidence,source
23426,25301,071,Victreebel,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733666; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23427,25302,072,Tentacool,normal,,CONFIRMED,Cardmarket candidate ids=733667; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23427,25303,072,Tentacool,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733667; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23428,25304,073,Tentacruel,normal,,CONFIRMED,Cardmarket candidate ids=733668; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23428,25305,073,Tentacruel,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733668; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23429,25306,074,Geodude,normal,,CONFIRMED,Cardmarket candidate ids=733669; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23429,25307,074,Geodude,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733669; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23430,25308,075,Graveler,normal,,CONFIRMED,Cardmarket candidate ids=733670; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23430,25309,075,Graveler,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733670; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23431,25310,076,Golem ex,holo,,CONFIRMED,Cardmarket candidate ids=733671; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23432,25311,077,Ponyta,normal,,CONFIRMED,Cardmarket candidate ids=733672; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23432,25312,077,Ponyta,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733672; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23433,25313,078,Rapidash,normal,,CONFIRMED,Cardmarket candidate ids=733673; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23433,25314,078,Rapidash,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733673; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23434,25315,079,Slowpoke,normal,,CONFIRMED,Cardmarket candidate ids=733674; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23434,25316,079,Slowpoke,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733674; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23435,25317,080,Slowbro,normal,,CONFIRMED,Cardmarket candidate ids=733675; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23435,25318,080,Slowbro,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733675; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23436,25319,081,Magnemite,normal,,CONFIRMED,Cardmarket candidate ids=733676; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23436,25320,081,Magnemite,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733676; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23437,25321,082,Magneton,normal,,CONFIRMED,Cardmarket candidate ids=733677; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23437,25322,082,Magneton,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733677; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23438,25323,083,Farfetch’d,normal,,CONFIRMED,Cardmarket candidate ids=733678; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23438,25324,083,Farfetch’d,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733678; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23439,25325,084,Doduo,normal,,CONFIRMED,Cardmarket candidate ids=733679; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23439,25326,084,Doduo,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733679; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
