collector_number,card_name,tcgdex_card_id,tcgdex_identity_status,normal_exists,holo_exists,reverse_exists,normal_usable,holo_usable,reverse_usable,normal_product_ids,holo_product_ids,reverse_product_ids,cardmarket_variant_product_ids,updated_at,cardmarket_currency,tcgplayer_currency,identity_note
170,Squirtle,sv03.5-170,EXACT,False,True,False,False,True,False,[],[502549],[],"{""holo"":[733765],""normal"":[],""reverse_holo"":[]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
171,Wartortle,sv03.5-171,EXACT,False,True,False,False,True,False,[],[517038],[],"{""holo"":[733766],""normal"":[],""reverse_holo"":[]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
172,Caterpie,sv03.5-172,EXACT,False,True,False,False,True,False,[],[517016],[],"{""holo"":[733767],""normal"":[],""reverse_holo"":[]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
173,Pikachu,sv03.5-173,EXACT,False,True,False,False,True,False,[],[513721],[],"{""holo"":[733768],""normal"":[],""reverse_holo"":[]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
174,Nidoking,sv03.5-174,EXACT,False,True,False,False,True,False,[],[517029],[],"{""holo"":[733769],""normal"":[],""reverse_holo"":[]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
175,Psyduck,sv03.5-175,EXACT,False,True,False,False,True,False,[],[517035],[],"{""holo"":[733770],""normal"":[],""reverse_holo"":[]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
176,Poliwhirl,sv03.5-176,EXACT,False,True,False,False,True,False,[],[517034],[],"{""holo"":[733771],""normal"":[],""reverse_holo"":[]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
177,Machoke,sv03.5-177,EXACT,False,True,False,False,True,False,[],[517025],[],"{""holo"":[733772],""normal"":[],""reverse_holo"":[]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
178,Tangela,sv03.5-178,EXACT,False,True,False,False,True,False,[],[517036],[],"{""holo"":[733773],""normal"":[],""reverse_holo"":[]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
179,Mr. Mime,sv03.5-179,EXACT,False,True,False,False,True,False,[],[517028],[],"{""holo"":[733774],""normal"":[],""reverse_holo"":[]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
180,Omanyte,sv03.5-180,EXACT,False,True,False,False,True,False,[],[517031],[],"{""holo"":[733775],""normal"":[],""reverse_holo"":[]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
181,Dragonair,sv03.5-181,EXACT,False,True,False,False,True,False,[],[517020],[],"{""holo"":[733776],""normal"":[],""reverse_holo"":[]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
182,Venusaur ex,sv03.5-182,EXACT,False,True,False,False,True,False,[],[517037],[],"{""holo"":[733777],""normal"":[],""reverse_holo"":[]}",2026-06-09T12:54:48+01:00,EUR,USD,set + collector number + name match
183,Charizard ex,sv03.5-183,EXACT,False,True,False,False,True,False,[],[517017],[],"{""holo"":[733778],""normal"":[],""reverse_holo"":[]}",2026-06-09T12:54:48+01:00,EUR,USD,set + collector number + name match
184,Blastoise ex,sv03.5-184,EXACT,False,True,False,False,True,False,[],[517015],[],"{""holo"":[733779],""normal"":[],""reverse_holo"":[]}",2026-06-09T12:54:48+01:00,EUR,USD,set + collector number + name match
185,Arbok ex,sv03.5-185,EXACT,False,True,False,False,True,False,[],[517014],[],"{""holo"":[733780],""normal"":[],""reverse_holo"":[]}",2026-06-09T12:54:48+01:00,EUR,USD,set + collector number + name match
186,Ninetales ex,sv03.5-186,EXACT,False,True,False,False,True,False,[],[517030],[],"{""holo"":[733781],""normal"":[],""reverse_holo"":[]}",2026-06-09T12:54:48+01:00,EUR,USD,set + collector number + name match
187,Wigglytuff ex,sv03.5-187,EXACT,False,True,False,False,True,False,[],[517039],[],"{""holo"":[733782],""normal"":[],""reverse_holo"":[]}",2026-06-09T12:54:48+01:00,EUR,USD,set + collector number + name match
188,Alakazam ex,sv03.5-188,EXACT,False,True,False,False,True,False,[],[517013],[],"{""holo"":[733783],""normal"":[],""reverse_holo"":[]}",2026-06-09T12:54:48+01:00,EUR,USD,set + collector number + name match
189,Golem ex,sv03.5-189,EXACT,False,True,False,False,True,False,[],[517021],[],"{""holo"":[733784],""normal"":[],""reverse_holo"":[]}",2026-06-09T12:54:48+01:00,EUR,USD,set + collector number + name match
190,Kangaskhan ex,sv03.5-190,EXACT,False,True,False,False,True,False,[],[517024],[],"{""holo"":[733785],""normal"":[],""reverse_holo"":[]}",2026-06-09T12:54:48+01:00,EUR,USD,set + collector number + name match
191,Jynx ex,sv03.5-191,EXACT,False,True,False,False,True,False,[],[517023],[],"{""holo"":[733786],""normal"":[],""reverse_holo"":[]}",2026-06-09T12:54:48+01:00,EUR,USD,set + collector number + name match
192,Zapdos ex,sv03.5-192,EXACT,False,True,False,False,True,False,[],[517040],[],"{""holo"":[733787],""normal"":[],""reverse_holo"":[]}",2026-06-09T12:54:48+01:00,EUR,USD,set + collector number + name match
